long,lat,CATEGORY
6643255.664,1960877.638,Assaults
6630733.501,1966159.251,Assaults
6637244.946,1958619.751,Assaults
6630121.033,1965771.433,Assaults
6639502.266,1963432.873,Assaults
6637705.630,1966421.893,Assaults
6634778.001,1961033.124,Assaults
6638521.339,1959650.848,Assaults
6636415.125,1959893.643,Assaults
6633776.516,1971237.445,Assaults
6636352.868,1959919.954,Assaults
6635405.000,1959697.998,Assaults
6636352.868,1959919.954,Assaults
6640477.669,1961983.297,Assaults
6636333.496,1960045.476,Assaults
6635891.526,1964426.223,Assaults
6636124.578,1959373.054,Assaults
6636236.501,1960376.874,Auto Theft
6630153.391,1965608.441,Auto Theft
6636415.125,1959893.643,Auto Theft
6636415.125,1959893.643,Auto Theft
6639808.720,1957896.150,Auto Theft
6643671.754,1964995.493,Auto Theft
6630935.417,1960873.750,Auto Theft
6629788.449,1961383.286,Auto Theft
6628505.002,1961688.501,Auto Theft
6648424.340,1961587.005,Auto Theft
6629561.990,1961611.951,Auto Theft
6620751.421,1961779.948,Auto Theft
6632983.012,1962145.221,Auto Theft
6645178.249,1963745.867,Auto Theft
6641685.310,1961843.799,Auto Theft
6643624.001,1959863.249,Auto Theft
6639800.975,1962211.622,Auto Theft
6639800.975,1962211.622,Auto Theft
6648017.023,1961463.626,Auto Theft
6634979.299,1965065.294,Auto Theft
6632092.431,1966445.433,Auto Theft
6642740.574,1959835.798,Auto Theft
6630932.033,1962471.598,Auto Theft
6642451.756,1959522.220,Auto Theft
6632744.901,1966482.426,Auto Theft
6634327.110,1967193.181,Auto Theft
6636093.659,1960962.155,Auto Theft
6647242.386,1962650.160,Auto Theft
6648329.051,1965413.909,Auto Theft
6643129.910,1965682.046,Auto Theft
6629804.178,1961723.519,Auto Theft
6626710.960,1966629.847,Auto Theft
6634595.046,1961778.795,Auto Theft
6639251.013,1969643.109,Auto Theft
6640007.965,1961783.548,Auto Theft
6645166.590,1959674.469,Auto Theft
6637408.677,1965620.476,Auto Theft
6639251.013,1969643.109,Auto Theft
6641685.310,1961843.799,Auto Theft
6623422.491,1966201.829,Auto Theft
6650137.117,1962469.710,Auto Theft
6638488.368,1960358.137,Auto Theft
6647418.500,1965546.752,Auto Theft
6644632.248,1963928.271,Auto Theft
6651723.200,1963148.441,Auto Theft
6630123.926,1960892.763,Auto Theft
6636124.578,1959373.054,Auto Theft
6639800.975,1962211.622,Auto Theft
6639654.837,1963552.629,Auto Theft
6639553.849,1961784.218,Auto Theft
6640521.000,1966922.876,Auto Theft
6635113.053,1959604.034,Auto Theft
6634471.639,1961045.925,Auto Theft
